model_n, accuracy, f-score, precision, recall, mcc, auc, aupr
1, 0.787302, 0.795107, 0.720349, 0.825397, 0.576278, 0.870748, 0.867281
2, 0.793651, 0.800613, 0.727427, 0.828571, 0.588739, 0.867271, 0.865312
3, 0.776190, 0.788606, 0.706358, 0.834921, 0.556231, 0.865734, 0.861899
4, 0.779365, 0.789713, 0.710735, 0.828571, 0.561456, 0.871645, 0.876324
5, 0.774603, 0.787425, 0.704591, 0.834921, 0.553247, 0.860993, 0.855874
6, 0.784127, 0.789474, 0.718889, 0.809524, 0.568988, 0.864379, 0.863334
7, 0.771429, 0.781155, 0.703374, 0.815873, 0.545015, 0.854664, 0.851562
8, 0.787302, 0.793210, 0.721731, 0.815873, 0.575544, 0.871857, 0.871444
9, 0.784127, 0.791411, 0.717522, 0.819048, 0.569645, 0.872945, 0.868073
10, 0.784127, 0.794562, 0.715347, 0.834921, 0.571209, 0.862434, 0.864529
11, 0.779365, 0.786482, 0.712850, 0.812698, 0.559976, 0.863502, 0.857812
12, 0.766667, 0.778281, 0.697701, 0.819048, 0.536284, 0.851832, 0.843889
13, 0.777778, 0.778481, 0.715563, 0.780952, 0.555567, 0.861446, 0.860840
14, 0.774603, 0.784195, 0.706553, 0.819048, 0.551389, 0.861048, 0.857748
15, 0.788889, 0.795699, 0.722685, 0.822222, 0.579066, 0.869962, 0.859358
16, 0.795238, 0.801843, 0.729337, 0.828571, 0.591793, 0.857173, 0.849104
17, 0.796825, 0.805471, 0.729326, 0.841270, 0.596010, 0.872149, 0.874020
ensemble, 0.815873, 0.825826, 0.747479, 0.873016, 0.635913, 0.895178, 0.874020
